Name,Org Type 1,Org Type 2,Org Type 3,Org Type 4,Org Type 5,Org Type 6,Primary eMail,Website,Telephones,Main Address,Main Address State,Registered Address,Registered Address State,Contact 1 Name,Contact 1 Designation,Contact 1 eMail,Contact 1 Telephones,Contact 2 Name,Contact 2 Designation,Contact 2 eMail,Contact 2 Telephones,Brief Information,Year of Establishment,GuideStar Url
SRI SARVADHARMAPRIYA SAI AROGYA KENDRA,Direct Service,,,,,,,www.saisevatrust.com,919900172963,"No 4 & 5, SLH Nilaya, Sai Mandir Road, Near Coffee board layout, Cauvery Extn. H A Farm Post,Bangalore,Bengaluru (Bangalore) Urban,Karnataka,560024",Karnataka,,,,,,,,,,,"To provide health which includes medical facility by identifying and serving the needy, destitute and underprivileged people.Trust has touched more than 500 emergency cases and 1000+ casual cases. Also guided several villagers on different government schemes and facilities.Trust is supported by: 100+ panel doctors, 150+ Youth Wing Volunteers from various Colleges and 15+ registered Hospitals.",2012,http://www.guidestarindia.org/Summary.aspx?CCReg=9970
SRI ULAGAVAZHI AMMAN CHARITABLE TRUST,Direct Service,,,,,,,,"918056402127,918778917274","No.34,Middle Street,Anadhapuram Road,Ariyur,puducherry,Puducherry,605102",Puducherry,,,E. Uma Maheswari,President,sriulagavazhiamman@gmail.com,,Aridha.I,Treasurer,aridhairisappan21@gmail.com,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9988
Suraj Janhit Association,Direct Service,Support,,,,,,surajjanhitassociation.blogspot.in,917523046408,"Village Deeh,Post Deeh,Unnao,Uttar Pradesh,209801",Uttar Pradesh,,,,,,,,,,,"Suraj Janhit Association is located in Unnao, Uttar Pradesh.",2017,http://www.guidestarindia.org/Summary.aspx?CCReg=10025
SURAKSHIT CARE,Direct Service,Network,Support,,,,,WWW.SURAKSHITCARE1.ORG,019911231874,"WPB,Delhi,North Delhi,110028",Delhi,"WPB,New Delhi,North Delhi,Delhi,110028",Delhi,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9827
TAMBE EDUCATION SOCIETY,Direct Service,Support,,,,,,http://www.tambeeducationsociety.com/,912228963369,"Tambe Education Society, Ashok Nagar, Ghartanpada, Dahisar East,Ashok Nagar, Ghartanpada, Dahisar East,Mumbai,Maharashtra,400068",Maharashtra,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9974
The Children's Aid Society,Direct Service,Support,,,,,,www.casmumbai.in,912224301203,"83, T.H Karatia Marg, Opposite Matunga Road railway station, Mahim,,Mumbai,Maharashtra,400016",Maharashtra,,,,,,,,,,,"The Children`s Aid Society is a pioneer non-governmental organization in the field of child development, child protection and child rehabilitation. The Children’s Aid Society was established in 1927 and is a National Award Winner for the ‘Best Child Welfare Institution’ in 1983. This Institution is registered according to the Society Registration Act, 1860 & Bombay Public Trust, 1950. This institution serves more than 2,500 children.",1953,http://www.guidestarindia.org/Summary.aspx?CCReg=9997
THE KANCHAN FOUNDATION,Direct Service,Intermediary,Support,,,,,,917208050030,"Gurudakshina, Ground Floor, Plot 282,,Sector 28, Vashi,Navi Mumbai,Thane,Maharashtra,400703",Maharashtra,"601/602, Vatsalya Chs Ltd.,(Indira Villa), 6Th Floor, Junction Of L.N Road And Hindu Colony,,Dadar East, Mumbai,Mumbai,Maharashtra,400014",Maharashtra,Kanchan Todi,Trustee,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=10010
UDAAN HAUSLON KI SAMITI,Advocacy & Campaigning,Direct Service,Grant-making,Intermediary,Network,Support,,,918630886679,"Govind Nagar Moradabad,Moradabad,Uttar Pradesh,244001",Uttar Pradesh,,,,,,,,,,,"Udaan Hauslon Ki Samiti is located in Moradabad, Uttar Pradesh.",2015,http://www.guidestarindia.org/Summary.aspx?CCReg=9980
Uday Vikas Seva Samiti,Direct Service,Intermediary,Network,Support,,,,,919336079818,"125-E/150 Mundera Gram,Grand Trunk Road,Taluka-Sadar,Allahabad,Uttar Pradesh,211011",Uttar Pradesh,,,,,,,,,,,"We are a grass root level organisation working on subjects like livelihood,environment, climate change, biodiversity, women empowerment and tribal welfare and also for Artizans to transform their life by using of simple science, sometimes we empower them by technology transfer and sometime by economic literacy.",2006,http://www.guidestarindia.org/Summary.aspx?CCReg=10023
UDYANSH GRAMIN SAMAJ SEWA SAMITI,Advocacy & Campaigning,Direct Service,Intermediary,Network,,,,,919165257889,"Gopi Complex, Gopi Vihar colony, Thikari,Barwani Road,Thikari District Barwani,Barwani,Madhya Pradesh,451660",Madhya Pradesh,"Gopi Complex,Gopi vihar colony, Barwani road,Thikari,Barwani,Madhya Pradesh,451660",Madhya Pradesh,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9527
UNITED HUMANITY FOUNDATION (UHF),Direct Service,,,,,,,www.uhfglobal.org,919711780482,"F-117, Hari Nagar Ext., Jaintpur Rd., Badarpur,,Jaintpur Road,New Delhi,South Delhi,Delhi,110044",Delhi,"F-116, Hari Nagar Ext., Jaitpur Rd., Badarpur,,New Delhi,South Delhi,Delhi,110044",Delhi,,,,,,,,,"The United Humanity Foundation, a non-governmental, a not for profit organization was establish in 2014, and registered  under the Indian Act 1882. The Founder, Sensei Dalbir singh panwar has been working in various important sectors of the society, especially health, life-skills, development and self-defense. He is also a professional Karate Teacher and National Karate Referee.Focusing Area:Improving the status of Education in Rural India.Improving the status of Health in rural Parts ofIndia.Engaging youths in Sports and Cultural Exchange, and Promoting Traditional Games.Empowering Women towards trade and investment, and in small business sectors.empowering citizens to take responsibility towards environment and water management.",2014,http://www.guidestarindia.org/Summary.aspx?CCReg=10008
VINA SHIKSHAN SANSTHA,Direct Service,,,,,,,,919673338682,"31, Ashoka Colony, Ganesh Nagar, Gondia,Gondia,Maharashtra,441601",Maharashtra,,,,,,,,,,,"We are working in education, Social welfare, woman and child empowerment sector etc. At present, we are providing education to 500 students in Economically & Socially backward rural area",1992,http://www.guidestarindia.org/Summary.aspx?CCReg=9976
VISHVAKALYAN MANAV SEVA SANSTHA,Direct Service,,,,,,,,919175439791,"Vishvakalyan Manav seva Sanstha,Vitthalwadi,,Shreeshetra Dehugaon,Taluka Haveli,,Pune,Maharashtra,411017",Maharashtra,,,,,,,,,,,"Vishvakalyan Manav Seva Sanstha Registered in 27 Nov 2006 in Pune. Under Maharashtra society act 1860 Sansthas Registered No.is MAH/2154/2006/PUNE.and Public Trust Act 1950 Reg.No. is F- 23058/Pune Mr.Dushasan Shamrao Kshirsagar is a Founder and President. our sansthas multipurpose sammyak aims and objects and work for Humanities. sansthas main aims and objects is Education, Health for all, Socially, Agriculture, Cultural,Meditation,Sports and Spirituals,and Various Programmes like as Save Earth,Water and Trees and also impement a Income Generation Activity and Personalty Development,Convinance To peoples From Societies Through Pravachan.Vishvakalyan Manav Seva Sanstha is located in Shree Kshetra Dehugaon, Pune in Maharashtra.",2006,http://www.guidestarindia.org/Summary.aspx?CCReg=10040
VIVEK EDUCATION AND SOCIAL TRUST,Support,,,,,,,,919429280377,"To. Dhikvali, Ta. Sayla,,Dhikvali,Surendranagar,Gujarat,363440",Gujarat,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=10048
"VIVEK KRIDA VA YUVAK BAHUUDESHIYA MANDAL, GONDIA",Direct Service,,,,,,,,919673338682,"31, Ashoka Colony, Ganesh Nagar, Gondia,Gondia,Maharashtra,441601",Maharashtra,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9981
WARRIER FOUNDATION,Advocacy & Campaigning,Direct Service,Support,,,,,http://www.warrierfoundation.org,"919820050071,919920902283","1501, 15th Floor, Lake Front Solitaire CHS Ltd,A.S. Marg, Powai,,Mumbai,Maharashtra,400076",Maharashtra,"503-504 B WING BLDG 4 POWAI VIHAR COMPLEX,POWAI,MUMBAI,Mumbai,Maharashtra,400076",Maharashtra,,,,,,,,,"Our mission is to provide an ecosystem for individuals to create a way of life, discovering their potential in all dimensions - physical, mental, social and spiritual - thus identifying their purpose in life.Our new projects include 1)Knowledge Service Centre at Aanakatty(Coimbatore)-Transforming the village nearby with sustainable living and educationCentre at Tirunavaya(Kerala)- Providing free education, healthcare and shelter to 200 children .Centre at Ernakulam(Kerala)- Balmandiram accomodating 65 underpriviledged Childern & their basic needs.Centre at Panvel(Mumbai) -Balmandiram with 40 Childern & a Vedhpathashala. Many more projects undertaken alongside like free medical check up camps,promoting art and culture, blood donation etc",1999,http://www.guidestarindia.org/Summary.aspx?CCReg=9979
YUGCHETNA KAUSHAL UNNAYAN SANSTHA BALOD,Support,,,,,,,,919425593400,"Rajesh Soni, Budhapara, Ward No. 19 Balod , Tah.Balod , Jila- Balod,Balod,Chhattisgarh,491226",Chhattisgarh,,,,,,,,,,,"Yugchetna Kaushal Unnayan Sanstha is located in Balod, Chhattisgarh.",2016,http://www.guidestarindia.org/Summary.aspx?CCReg=9977
ADARSHA SEVA SAMITHI,,,,,,,,http://adarshaseva.org/,919553978985,"H.No:5-16,Obulapuram Village & Post,Giddalur Mandal,Prakasam,Andhra Pradesh,523367",Andhra Pradesh,,,,,,,,,,,"We are non – profit organization led by passionate and dedicated people  to help the underprivileged and low – income people and communities grow to their full potential by providing them education, tools, training and resources",2016,http://www.guidestarindia.org/Summary.aspx?CCReg=10085
AJINKYA YUVAK MITRA MANDAL,Advocacy & Campaigning,Direct Service,Support,,,,,,919823537786,"Indira Gandhi Open University Study Center Latur Plaza 2nd Floor,Ambajogai Road Near Mayura Hotel,Latur,Maharashtra,413512",Maharashtra,"Ajinkya College Of Education Adv. ,Haji Naimodin Urdu School,Pathan Nagar, Ambajogai Road,Latur,Maharashtra,413512",Maharashtra,,,,,,,,,"Ajinkya Yuvak Mitra Mandal is located in Latur, Maharashtra.",1995,http://www.guidestarindia.org/Summary.aspx?CCReg=10126
Amardeep Education and Welfare Trust,Advocacy & Campaigning,Grant-making,,,,,,,919265664792,"At -Bukoli,Ta - Kankarej,Banaskantha,Gujarat,385550",Gujarat,"At - Bukoli,Ta - Kankrej,Banaskantha,Gujarat,385550",Gujarat,,,,,,,,,"“Amardeep Education and Welfare Trust” is a non government organization registered under Bombay public trust act, 1950 and Societies Registration act, 1860 dated to solve the different kind of the problems of women, children, youth, senior citizen, farmers and unorganized labours as well as to enable them so that they can enjoy their all fundamental rights. So that they can develop very well from all sphere of lives. for said purpose organization is working since inspection. With the vision to do community development from all the sphere of lives. In our country there are many social problems like poverty, illiteracy, unemployment, child labour, women exploitation etc. so Organization has focuses on the major social issues which exist in pr",2001,http://www.guidestarindia.org/Summary.aspx?CCReg=10052
AMIT SOCIAL DEVELOPMENT AND RESEARCH CENTER,Direct Service,,,,,,,,919422465314,"A-1, Saragaurav, Tualjapur,Osmanabad,Maharashtra,413601",Maharashtra,"At post Pakviki,Osmanabad,Maharashtra,413506",Maharashtra,,,,,,,,,"Amit Social Development and Research Center Takviki is located in Osmanabad, Maharashtra.",2009,http://www.guidestarindia.org/Summary.aspx?CCReg=10132
"Ankur Pratishthan and Sanshodhan Sanstha, Ambajogai",Advocacy & Campaigning,Direct Service,Grant-making,Support,,,,,"912446248372,919422242473","Prajact,Adarsh Colony,Ambajogai,Beed,Maharashtra,431517",Maharashtra,,,,,,,,,,,"Ankur Pratishthan is working in the field of  Education with one English Medium Primary School,Agriculture with a project of organic farming ,through which we had approached to about 3000 farmers, we arrange training camps for organic fertilisers , pesticides etc. ,women empowerment with nearly 100 SHG s in 20 different villages ,through these groups we have helped nearly 125 women to start their own business . We have a farm of 5 acres 10 km away from Ambajogai wherein a horticulture project, sericulture project ,office , training center is located.We also work in water management program in two villages wherein we have done the widening the river 1 km in length and 20 by 10 in wedth and depth.",1991,http://www.guidestarindia.org/Summary.aspx?CCReg=10115
ASHAA FOUNDATION,Advocacy & Campaigning,Support,,,,,,www.ashaawelfarefoundation.org,911206510107,"Mc Complex,Office No 201,Noida,Gautam Buddha Nagar,Uttar Pradesh,201301",Uttar Pradesh,"Office No 04  Mc Complex, Second Floor, Sector 15,Noida,Gautam Buddha Nagar,Uttar Pradesh,201301",Uttar Pradesh,,,,,,,,,"Ashaa foundation is one of trusted non government  organization in india we are working for education.health,woman empowerment and for old age home",2016,http://www.guidestarindia.org/Summary.aspx?CCReg=10072
AUDUMBAR BAHUUDDESHIYA VA SHIKSHAN SANSTHA,Advocacy & Campaigning,Support,,,,,,,919422167384,"Vasant Nagar,Umarkhed At.Post.,Umarkhed,Yavatmal,Maharashtra,445206",Maharashtra,,,,,,,,,,,"Audumbar Bahuuddeshiya va Shikshan Sanstha is located in Yavatmal, Maharashtra.",2005,http://www.guidestarindia.org/Summary.aspx?CCReg=10095
AYODHYA CHARITABLE TRUST,Direct Service,,,,,,,,"919423252940,918888858988","Survey No. 51/2, Vikas Nagar, Wanwadi,Pune,Maharashtra,411040",Maharashtra,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=10112
Bethel Evangelistic and Rehabilitation Centre,Direct Service,Grant-making,Support,,,,,www.bethel-india.net,919750371175,"Bethel Campus,Elathagiri -Post,Krishnagiri,Tamil Nadu,635108",Tamil Nadu,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=10092
BHARTI SAMAJIK SEVA SANSTHA,Direct Service,,,,,,,,919822386999,"Gautam Nagar,Bajpai Ward,Gondia,Maharashtra,441601",Maharashtra,,,,,,,,,,,"Bharti Samajik Seva Sanstha is located in Gondia, Maharashtra.",2005,http://www.guidestarindia.org/Summary.aspx?CCReg=10133
C3: Collaborate to Create Change,Direct Service,Network,Support,,,,,http://www.c3world.org/,919599890808,"Care of SDMC-NPV, B3 Raghubir Nagar - 1,Delhi,West Delhi,110027",Delhi,"Plot No 31, FIE, Patparganj Industrial Area,Delhi,East Delhi,110092",Delhi,Vijaya Singh,Co-Founder,vijaya@c3world.org,91-9599890808,,,,,"C3: Collaborate to Create Change is located in West Delhi, Delhi.",2016,http://www.guidestarindia.org/Summary.aspx?CCReg=10123
CAREWORKS FOUNDATION,Direct Service,Support,,,,,,http://www.cwfglobal.org,917411328400,"No 3/3/2, Quess House, Ambalipura Sarjapur road, Bellandur Gate,Next to Fab India,Bengaluru,Bengaluru (Bangalore) Urban,Karnataka,560037",Karnataka,"No 3/3/2, Quess House, Amballipura, Sarjapur road, Bellandur Gate,Next to Fab India,Bengaluru,Bengaluru (Bangalore) Urban,Karnataka,560103",Karnataka,Smitha. B S,Senior Manager,smitha.bs@quesscorp.com,,,,,,"Care Works Foundation (CWF) is a non-profit organization established in Jan, 2014.  to act as a catalyst of change and create better lives. Driven by the belief that education and health are the two major pillars to accelerate growth in a society, CWF identified several smaller elements under these to encourage community developmentOur Vision: “To actively contribute to the community and create a positive impact in the lives of people, especially in the areas of health and education. In doing so, Quess aims to build a healthy and educated workforce and provide sustainable livelihood for the weaker sections of society”",2014,http://www.guidestarindia.org/Summary.aspx?CCReg=10079
"CHHATTISGARH AGRICON SAMITI, RAIPUR",Support,,,,,,,https://www.cgagricon.org,919630083206,"404 4th Floor Progressive Point Beside Fruit Market,lalpur,Raipur,Chhattisgarh,492001",Chhattisgarh,"404 4th Floor Progressive Point Beside Fruit Market,Raipur,Chhattisgarh,492001",Chhattisgarh,,,,,,,,,"Chhattisgarh Agricon Samiti is a non-governmental organization, registered under the Societies Registration Act (1860). It works with more than 75000 families in over 700 villages in 15 districts of Chhattisgarh. CG Agricon works for ensuring agriculture based livelihoods support to poor and marginalized people. Nearly three-fourths of the families Agricon works with belong to Schedule Tribes. Agricon is in the process of expanding its activities in remote area of tribal districts Agricon’s MISSION is to develop income generating opportunities at village level through integration of natural resources. Grassroots action to promote and strengthen livelihoods for the rural mass is Agricon’s primary work focus. In all places women are central t",2007,http://www.guidestarindia.org/Summary.aspx?CCReg=10097
DAGAR RURAL DEVELOPMENT ORGANIZATION,Advocacy & Campaigning,Direct Service,Grant-making,Intermediary,Network,Support,,www.drdongo.webs.com,919540455522,"52C, 1St Floor,Krishna Complex Hasanpur Village,I.P Extension,Patparganj, East Delhi,,East Delhi,Delhi,110092",Delhi,"52C, Krishna,Complex Hasanpur Village,,I.P Extension Patparganj, East Delhi,East Delhi,Delhi,110092",Delhi,,,,,,,,,"Dagar Rural Development Organization is a grassroots non-governmental organization founded in 2013 by service minded and dedicated youth of East Delhi district in the state of Delhi. Under Societies Registration Act Xxi Of 1860 Delhi, and Registration Number734/2013 dated 03-10-2013,   Main Objectives for Society Rural Development, Education, Health Care, Women Care and Skill  Development income generation, Environment tree Plantation and Environment Awareness ,  Livelihood,  Child Protection, Health, Agriculture, Environment and Economic development and protect their Human Rights. Organizing the program in different areas for supporting the program for environmental protection and Agriculture development.  social and economic development p",2013,http://www.guidestarindia.org/Summary.aspx?CCReg=10088
DIVINE CHARITABLE AND RELIGIOUS TRUST,Support,,,,,,,,918328822323,"Divine Public School Campus,Talhati,Abu Road,,Sirohi,Rajasthan,375001",Rajasthan,,,,,,,,,,,"Divine Charitable and Religious Trust is located in Sirohi, Rajasthan.",2006,http://www.guidestarindia.org/Summary.aspx?CCReg=10064
DR A.P.J ABDUL KALAM EDUCATIONAL SOCIETY,Direct Service,,,,,,,,919413718166,"Konra,Chohatan Barmer,Barmer,Rajasthan,344702",Rajasthan,"Konara,Chohatan Barmer,Barmer,Rajasthan,344702",Rajasthan,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=10089
EARTHCARE DESIGNS FOUNDATION,Direct Service,,,,,,,http://www.earthcaredesigns.org,"919421688887,912532346148","31-A, Abhivyakti Media for Development, Kalyani Nagar,,Anandvali shivar, Gangapur Road,,Nashik,Maharashtra,422002",Maharashtra,"C/o Anurag Kenge, Flat no.02, Shantiswaroop Apt,New Pandit Colony, Sharanpur Road,Nashik,Maharashtra,422002",Maharashtra,,,,,,,,,"EarthCare Designs Foundation is a Nasik-based organisation. We envision EarthCare Designs as a socio-cultural, spiritual, and technologically innovative space. We design products and technology that is viable for individuals, empowering for communities, and regenerative for the environment. These designs conserve energy resources, build upon the wisdom of earth-based communities, & ensure healthy livelihoods. We prioritize human-scale efforts, which operate on free and abundant natural resources like solar and muscle energy as well as human creativity. At the heart of this enterprise is the development of leadership that will guide India's marginalised communities towards unity, justice and a reconnection between people & the natural world.",2017,http://www.guidestarindia.org/Summary.aspx?CCReg=10119
EKAKSHA,Advocacy & Campaigning,Direct Service,Grant-making,Intermediary,Network,Support,,,918901335223,"G-20 Uttam Nagar, Delhi,Delhi,West Delhi,110059",Delhi,,,Aayush Agarwal,Prasident,aayushaggarwal.er@gmail.com,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=10059
Elixir Foundation,Advocacy & Campaigning,Direct Service,Network,Support,,,,"www.elixirindia,org",919016558924,"14, P & T Society,,Nr Maninagar Crossing, Maninagar East,Ahmedabad,Gujarat,380008",Gujarat,,,,,,,,,,,"Elixir Foundation is an initiative by the Presidential Awardees of Government of India i.e IG NSS Awardees and National Youth Awardees to ubiquitously enhance lives for a better society. Today, our society is suffering from a plethora of negative influences that are dragging our nation's progress. Poverty, Unemployment, Over-Population, illiteracy etc. are the major ones. There are efforts being done in the areas to curb the above mentioned concerns but more initiatives need to be taken especially by the youth of the country. Elixir is a step to ubiquitously, in every area do small & big deeds & deal with the concerns in our own smaller ways to improve the state of the world.",2015,http://www.guidestarindia.org/Summary.aspx?CCReg=10078
ETHER INDIA CHARITABLE SOCIETY,Advocacy & Campaigning,Network,Support,,,,,http://www.etherindia.org,"918281858400,919895883934,919656500470","Anvra 127,Vittiyam, Peyad,Trivandrum,Thiruvananthapuram,Kerala,695575",Kerala,"17/117, Koovakudi,Vellanad,Trivandrum,Thiruvananthapuram,Kerala,695543",Kerala,Biju Simon,Founder,etherindiakids@gmail.com,,,,,,"Ether India believes that education should facilitate children to identify their capabilities, skills and set up their goals. Hence we focus on 3 Es: Education, Empowerment and Engagement. In the beginning we provide our support to 10 orphanages in Trivandrum. Ether India has conducted a study on the language proficiency among children in orphanages. We filled the questionnaire by 150 students and found that more than 90% of the children need support to learn, understand and speak English. And majority of them like to learn through different methods like games, acting, role plays, interactive etc.",2018,http://www.guidestarindia.org/Summary.aspx?CCReg=10066
Himali Sahid Nagar Helping Hands Relief Foundation,,,,,,,,,"918537031038,918537031038","07,Shahid Regha Tamang Path, Near Amukta Parivar Club,Siliguri,Jalpaiguri,West Bengal,734001",West Bengal,,,,,,,,,,,Basically we are working on education field since 2014/15 for poor and under privilege students and street childrens.Till now we have enrolled more than 200 students in various primary school in Siliguri and around and we are looking for more.,2015,http://www.guidestarindia.org/Summary.aspx?CCReg=10060
Jaldhaara Foundation,Direct Service,Grant-making,Support,,,,,www.jaldhaara.org,914067011709,"No 9-7, Survey No. 308 /1, Nagaram,,Keesara Mandal,,Hyderabad Urban,Medchal,Telangana,500053",Telangana,"No 9-7, Survey No. 308 /1, Nagaram,,Keesara Mandal,,Hyderabad Urban,Medchal,Telangana,500083",Telangana,,,,,,,,,Jaldhaara Foundation (JF) is a not for profit organization having its base in India with expansion plans to Ghana and Nigeria within West Africa. Jaldhaara Foundation (JF) aims to provide sustainable access to safe drinking water and sanitation solutions to the underserved communities (both rural and urban) globally as envisaged in the Sustainable Development Goals (SDGs). It envisions building preferences and promoting positive behavioral changes towards WASH practices through its programs with gender mainstreaming and empowerment as critical element embedded in the design.Jaldhaara believe in ‘quenching a bigger thirst’ through our actions which aim to bring about a positive change in the lives of underserved people.,2011,http://www.guidestarindia.org/Summary.aspx?CCReg=10037
JANHIT GRAMIN VIKAS VA SAMAJIK SANSHODHAN SANSTHA,Advocacy & Campaigning,Direct Service,,,,,,http://www.jgvsss.org,919767280213,"At Post Puntamba, Tal.Rahata,,Puntamba,Ahmednagar,Maharashtra,413707",Maharashtra,,,Santoshkumar Punamchand Chordiya,Treasurer,janhitvikaspuntamba@gmail.com,91-9822101918,,,,,"WE WORK IN AREAS OF  EDUCATION, SOCIAL ACTIVITY, VOCATIONAL AND SKILL DEVELOPMENT TRAINING, CHILD LABOUR AND WOMEN DEVELOPMENT, SOCIAL AND VOLUNTARY HEALTH CARE, SOCIAL RESEARCH, AGRI DEVELOPMENT, SPORTS DEVELOPMENT, SAVE THE WATER, RURAL DEVELOPMENT, SAVE THE ENVIRONMENT, WORKING FOR MINORITY AFFAIRS, ARRANGING CAMPAIGNS FOR YOUTH PEOPLE IN THE COMMUNITY, ETC.",2011,http://www.guidestarindia.org/Summary.aspx?CCReg=10068
JAWAHARLAL NEHRU TECHNICAL CENTER,Direct Service,Network,,,,,,,918885586244,"No 50-92-33, Beside Income Tax Office, Near Crown Bakery, Shankarmattam Road,Visakhapatnam,Andhra Pradesh,530016",Andhra Pradesh,"H.No-17, G.No- 1439, Near Old Court, Kashmere Gate,Delhi,North Delhi,110006",Delhi,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=10114
JEEVAN ARTH FOUNDATION,Advocacy & Campaigning,Direct Service,Grant-making,Intermediary,Network,Support,,www.jeevanarth.org,919461801329,"Shop No. 26, 2nd Floor,,Silver Square Mall, Near Rajmandir Cinema,,M.I. Road, Jaipur,Jaipur,Rajasthan,302001",Rajasthan,,,Ishu Saini,Co-Founder,JEEVANARTHFOUNDATION@GMAIL.COM,91-9461801329,,,,,"Our NGO name is JEEVAN ARTH FOUNDATION and founder is MR. SHYAM JAIN and Co-Founder is MS. ISHU SAINI. Our dream is Safe and Strong Girls & Women's, also i want to focus on Girls Safety. Our First Program is Awareness on Females Health to Gents. and we distribution of Sanitary Napkins to whole girls & women's and also we provide certification course in NGO with pay of monthly. Our 20 member support for donation and programs. Our mission and object is want to know ""meaning of life"" and do work for life.",2017,http://www.guidestarindia.org/Summary.aspx?CCReg=10100
JOSHI WELFARE FOUNDATIONS,Direct Service,Support,,,,,,,"919912113255,917013363061","4-1-165B, Patnool Street,,Tirupati,Chittoor,Andhra Pradesh,517501",Andhra Pradesh,,,,,,,,,,,"Joshi Welfare Foundations is located in Chittoor, Andhra Pradesh.",2016,http://www.guidestarindia.org/Summary.aspx?CCReg=10081
"KHOJ, MUMBAI",Advocacy & Campaigning,Support,,,,,,www.khojmelghat.org,917223227292,"Yashwant Bhavan,AT Po Gaurkheda Kumbhi, Tal Achalpur, Dist Amravati,Amravati,Maharashtra,444806",Maharashtra,"C/o Vijay Jawlekar, D/3/20,Chittaranjan Nagar, Rajawadi,,Vidyavihar East,,Mumbai,Maharashtra,400007",Maharashtra,,,,,,,,,"We work with tribals and forest dwelling communities in and around Melghat region of Amravati district of Maharashtra. Our primary focus is empowering the communities in ensuring better livelihoods, conservation, health, education and governance. We  work with youths, women and the village community as a whole.We have established principles of community driven forest regeneration, conservation and sustainable MFP harvesting models.We believe in people- forest- wildlife coexistence and our efforts are directed in strengthening the same.",1997,http://www.guidestarindia.org/Summary.aspx?CCReg=10087
Krantisinh Bahuddeshiya Sevabhavi Sanstha,Support,,,,,,,,919595991555,"Shivaji Maharaja Putula Daregaon Jalna,Daregaon,Jalna,Maharashtra,431213",Maharashtra,"Shivaji Maharaja Putula Daregaon Jalna,Jalna,Maharashtra,431213",Maharashtra,Vishnu J Piwal,Chief Functionary,kbssanstha@gmail.com,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=10116
Laxmi Shikshan Prasarak Mandal,Advocacy & Campaigning,,,,,,,,919422167384,"Vasant Nagar,Umarkhed,Yavatmal,Maharashtra,445206",Maharashtra,,,,,,,,,,,"Laxmi Shikshan Prasarak Mandal is located in Yavatmal, Maharashtra.",1996,http://www.guidestarindia.org/Summary.aspx?CCReg=10094
Loknayak Jayprakash Narayan Foundation,Direct Service,,,,,,,,919823179704,"Block No.18 ,  Siddhesh Housing Society North Sadar Bazar, Behind Civil Hospital,Solapur,Maharashtra,413003",Maharashtra,,,,,,,,,,,"Loknayak Jayprakash Narayan Foundation is located in Solapur, Maharashtra.",2006,http://www.guidestarindia.org/Summary.aspx?CCReg=10107
MAHATMA PHULE BHAUDDESHIYA SAMAJIK SANSTHA,Direct Service,,,,,,,,919423584671,"Mahatma Phule Bhauddeshiya Samajik Sanstha Hasegaohn Kaij,Kallam,Osmanabad,Maharashtra,413507",Maharashtra,,,,,,,,,,,"Mahatma Phule Bhauddeshiya Samajik Sanstha is located in Osamanabad, Maharashtra.",2009,http://www.guidestarindia.org/Summary.aspx?CCReg=10093
"MARATHWADA SAMAJIK SANSTHA, TULJAPUR",Advocacy & Campaigning,Direct Service,Support,,,,,,919822789435,"Savlee Building,S.T.Colony,Tuljapur,Osmanabad,Maharashtra,413601",Maharashtra,,,,,,,,,,,"Marathwada Samajik Sanstha is located in Tuljapur, Maharashtra.",2003,http://www.guidestarindia.org/Summary.aspx?CCReg=10142
MATOSHRI SHAKUNTALA KALE PRATISTHAN,Direct Service,,,,,,,,919423223388,"At post Nhavara,Shirur,Pune,Maharashtra,412211",Maharashtra,,,,,,,,,,,"Matoshri Shakuntala Kale Pratisthan is located in Pune, Maharashtra",2007,http://www.guidestarindia.org/Summary.aspx?CCReg=10104
MOTHER TERESA AMELIORATION SERVICE SOCIETY,Direct Service,Network,,,,,,,918885040009,"18-2-12 Orus SubhasNagar Warangal,Warangal  Telangana,Warangal (Urban),Telangana,506002",Telangana,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=10139
MOULANA AZAD SHIKSHAN SANSTHA,Direct Service,Support,,,,,,,919403174193,"At - Narayanpur, Post - Kapustalani Tah - Anjangaon,,Amravati,Maharashtra,444705",Maharashtra,,,,,,,,,,,"Moulana Azad Shikshan Sanstha is located in Amravati, Maharashtra.",2004,http://www.guidestarindia.org/Summary.aspx?CCReg=10137
